# Constructed from biom file
#OTU ID	Human	Mock	Mouse	Soil
ceba46c20b5a9ae2ffc9ce76f812bacb	8.0	0.0	0.0	0.0
7a5605ad9850cdd48a0b030f79c0c081	8.0	0.0	0.0	0.0
f8b829cb1a49a204a9eb8dc8741fca21	8.0	0.0	0.0	0.0
1760c1115dea0641c91757d5810a769c	0.0	0.0	0.0	8.0
c2b9d7ad665d37643ff981ab00c9394f	7.0	0.0	0.0	0.0
f9303d53e53629283cfde0c4aaf7ad50	0.0	0.0	7.0	0.0
5c675b833fb0872852725f803c3488bb	0.0	0.0	0.0	7.0
f9ce7c9428272d8a28039dfb510899e3	0.0	0.0	0.0	7.0
f81883057a8d1e717d034599f2e83b6f	6.0	0.0	0.0	0.0
b2c066bcc08a48c86dd5600aeb0d4b69	6.0	0.0	0.0	0.0
e25459197cbfd01b80a3206d36086f19	6.0	0.0	0.0	0.0
e2262807c0f9d18fe4b9809be09ed2d7	6.0	0.0	0.0	0.0
7f71985c4c835323108690d0b862789a	0.0	6.0	0.0	0.0
c337812e033c1aa5f4f7c14821dae0f3	0.0	0.0	6.0	0.0
e0d4b2741bb2a4751207b8a4885ddca7	0.0	0.0	6.0	0.0
e1a9e552ca9921bd7bf3169eec4c4914	5.0	0.0	0.0	0.0
eaf58cf66086ac65b334ec0359a983e4	5.0	0.0	0.0	0.0
e0147d5eb8045fccf3ff239dcec399b5	5.0	0.0	0.0	0.0
4f82cf9f196fae90173a0026f2b0bb97	0.0	0.0	0.0	5.0
e75a4a2b3beafeb12aa5fe8b2212df0d	4.0	0.0	0.0	0.0
8310981aa3be2a4fe49103777278f16f	4.0	0.0	0.0	0.0
1b59bad86c7f791043a1d26e8eb06e70	4.0	0.0	0.0	0.0
8a0d54515475533fecd5b7ab9e21380f	4.0	0.0	0.0	0.0
588cf1a7f3274cb09f05284cb91dac58	4.0	0.0	0.0	0.0
4e2655430c7d3d0b178a0411d8918370	4.0	0.0	0.0	0.0
d82629401283af453d0be0f3cafa321e	0.0	4.0	0.0	0.0
8d7bdfd2bd60a8142755f2a12351e97d	0.0	0.0	0.0	4.0
82a2fef94ae3ad4304eec60d2ed55f23	0.0	0.0	0.0	4.0
0772a1264472e128d1d774882fbb6d87	3.0	0.0	0.0	0.0
b48d69278bce05c72268f42db050af0b	3.0	0.0	0.0	0.0
e96d6bd8a5be44603771728729db7319	3.0	0.0	0.0	0.0
982902eaef5187dad3c6ec59daa7d91e	3.0	0.0	0.0	0.0
d78bee9118511fca548959205015d5aa	3.0	0.0	0.0	0.0
d4b63807393c0aa904ff221fc9d2a7ff	3.0	0.0	0.0	0.0
c90706034c20412b757d4263de510b70	0.0	0.0	3.0	0.0
cdd67ed2ed68a18ec491c182c80f1d2e	0.0	0.0	0.0	3.0
1fba5ab400df32f1d17f16373df66da6	0.0	0.0	0.0	3.0
dd8a28bd14553796c52485956956458d	0.0	0.0	0.0	3.0
4ee60f93007290be8a05bfd63936e2e1	2.0	0.0	0.0	0.0
29cac046595d5d14f4033aafa944d415	0.0	2.0	0.0	0.0
aaa77b4fb811b8f634865453ec01957d	0.0	2.0	0.0	0.0
998800b67b8983fd4072f95f915ab6bb	0.0	2.0	0.0	0.0
979c2cd0324be398a17eb5088c817681	0.0	0.0	2.0	0.0
0b1dba03dbbe3ccf39836dd0ba38681b	0.0	0.0	0.0	2.0
dd1a1ae1a1779724d7ade76b7ee39ad9	0.0	0.0	0.0	2.0
