# Constructed from biom file
#OTU ID	Human	Mock	Mouse	Soil
6e434753f744ddbaf2380aa4d4e8c134	49.0	5652.0	1830.0	6160.0
fc67f89e5cdf8889f97bc1b2abc91bfe	0.0	4547.0	1596.0	5210.0
08f79ca1c736b5a65293db22db4cf64d	0.0	3998.0	1496.0	4568.0
37f6b271b1722949b2e110d786177bba	7615.0	0.0	0.0	848.0
147c3ad3ed20acdffa3bb497e98f33c0	0.0	0.0	6541.0	0.0
587dad2b91e1ddd27475ab81244ef107	0.0	0.0	4861.0	0.0
63c0597a9916c2194fd1a8d0a1ba8c11	0.0	0.0	4726.0	0.0
082e58a2b28ab5e9631857b322f5e43e	0.0	3371.0	65.0	127.0
1d75eaaa441fdcc870ab690b242c0704	0.0	0.0	0.0	1833.0
d339f7dd2d4d3e3c5eb327018595c570	1295.0	0.0	0.0	0.0
6a371e86ec57341b550535bc5fb78135	509.0	0.0	0.0	0.0
7d505b948dccb5db9144cd222848938b	114.0	0.0	110.0	0.0
808c9bce98d6ec41390fda6b251d9f9f	135.0	0.0	0.0	74.0
9b7de4a75d028e67e17cbf30f95a121d	0.0	0.0	0.0	171.0
9b311255d12a685329a93698e3cdcb10	88.0	0.0	0.0	71.0
6f66f7f38ee5f51e03a7dccc3630c017	44.0	0.0	0.0	103.0
0ae2537245541b586f06dde675381519	0.0	0.0	0.0	135.0
3451fe0291352d9a92a2f34e4ca0595d	0.0	0.0	0.0	118.0
79abbffce180d0c250f68add09b9c2f1	100.0	0.0	0.0	0.0
e0f62d89a229bc357bada4d6bf4c62c7	53.0	11.0	0.0	33.0
cea58818437b330664f18834e65e0301	0.0	0.0	88.0	0.0
2ded955a665805e950e99ae3dfafb783	80.0	0.0	0.0	6.0
24f341763a022bb11955242fa9df3cae	71.0	0.0	0.0	0.0
ae14eb7d17017540ac90206ba358b747	0.0	0.0	70.0	0.0
0d6a7e9cff75e7f9d4ae1afe990d9012	42.0	0.0	0.0	22.0
12073680497aa4d183aeb6a6b20ee7d0	54.0	0.0	0.0	0.0
b4be606ee0076d8b34325265e67ea4a4	50.0	0.0	0.0	0.0
